"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"533",0,0,0,1,2,2,0,2,1
"534",0,0,0,2,0,2,0,3,5
"535",0,0,0,3,2,1,3,1,0
"536",0,0,0,1,6,1,6,1,3
"537",0,0,0,2,3,2,1,3,3
"538",0,0,0,3,2,1,3,1,1
"539",0,0,0,3,4,3,1,2,1
"540",0,0,0,1,3,3,1,1,0
"541",0,0,0,4,1,1,3,1,0
"542",0,0,0,1,3,3,3,0,2
"543",0,0,0,1,2,3,1,2,2
"544",0,0,0,1,5,3,0,0,0
"545",0,0,0,2,1,2,0,1,2
"546",0,0,0,3,3,2,2,0,0
"547",NA,NA,NA,NA,NA,NA,NA,NA,NA
"548",0,0,0,4,1,1,1,1,3
"549",0,0,0,1,3,2,0,1,0
"550",0,0,0,2,0,2,3,5,5
"551",0,0,0,2,3,5,3,1,2
"552",0,0,0,1,0,0,3,2,1
"553",0,0,0,2,3,2,0,5,1
"554",0,0,0,3,3,2,0,0,1
"555",0,0,0,4,1,0,3,1,0
"556",0,0,0,2,2,5,1,0,1
"557",0,0,0,4,3,1,2,1,2
"558",0,0,0,2,1,5,2,1,2
"559",0,0,0,2,2,3,2,1,3
"560",0,0,0,2,5,0,2,3,2
"561",0,0,0,0,4,2,3,1,0
"562",0,0,0,2,0,3,5,1,4
"563",0,0,0,2,4,0,3,2,3
"564",0,0,0,1,4,1,2,2,1
"565",0,0,0,2,0,0,4,3,3
"566",0,0,0,4,3,1,0,0,4
"567",NA,NA,NA,NA,NA,NA,NA,NA,NA
"568",0,0,0,2,4,2,2,1,3
"569",0,0,0,1,1,3,4,1,1
"570",0,0,0,6,1,4,0,0,1
"571",0,0,0,2,1,1,2,1,2
"572",0,0,0,1,1,2,3,4,5
"573",0,0,0,2,4,2,2,0,3
"574",0,0,0,0,1,0,4,2,3
"575",0,0,0,4,1,2,2,2,1
"576",0,0,0,1,2,4,5,0,6
"577",0,0,0,1,0,1,1,5,1
"578",0,0,0,3,3,0,1,2,1
"579",0,0,0,1,1,0,1,4,3
"580",0,0,0,5,3,1,4,2,1
"581",0,0,0,2,3,3,3,4,1
"582",0,0,0,3,1,2,0,3,0
"583",0,0,0,3,1,2,2,0,2
"584",0,0,0,4,3,1,2,3,1
"585",0,0,0,2,4,2,1,2,1
"586",0,0,0,1,2,2,2,2,3
"587",0,0,0,2,5,2,3,4,0
"588",0,0,0,1,1,2,2,4,3
"589",0,0,0,3,1,4,1,3,2
"590",0,0,0,4,2,1,1,2,2
"591",0,0,0,1,4,5,2,1,1
"592",0,0,0,4,1,4,3,1,3
"593",0,0,0,2,1,2,1,2,3
"594",0,0,0,1,1,3,2,3,2
"595",0,0,0,2,1,4,1,2,2
"596",0,0,0,3,6,1,0,1,3
"597",0,0,0,1,2,4,2,2,1
"598",0,0,0,1,2,3,1,3,1
"599",0,0,0,4,1,0,3,2,1
"600",0,0,0,3,4,1,6,0,2
"601",0,0,0,1,2,1,3,0,2
