"","V1","V2"
"1284",18,42
"1285",21,39
"1286",21,39
"1287",27,33
"1288",27,33
"1289",27,33
"1290",27,33
"1291",24,36
"1292",27,33
"1293",27,33
"1294",24,36
"1295",21,39
"1296",24,36
"1297",18,42
"1298",18,42
"1299",21,39
"1300",18,42
"1301",27,33
"1302",24,36
"1303",27,33
"1304",27,33
"1305",21,39
"1306",27,33
"1307",21,39
"1308",27,33
"1309",18,42
"1310",24,36
"1311",27,33
"1312",27,33
"1313",27,33
"1314",18,42
"1315",27,33
"1316",27,33
"1317",27,33
"1318",27,33
"1319",21,39
"1320",18,42
"1321",24,36
"1322",27,33
"1323",24,36
"1324",24,36
"1325",21,39
"1326",21,39
"1327",27,33
"1328",21,39
"1329",27,33
"1330",27,33
"1331",27,33
"1332",27,33
"1333",24,36
"1334",27,33
"1335",27,33
"1336",27,33
"1337",24,36
"1338",27,33
"1339",27,33
"1340",21,39
"1341",27,33
"1342",24,36
"1343",27,33
"1344",27,33
"1345",24,36
"1346",21,39
"1347",18,42
"1348",24,36
"1349",24,36
"1350",27,33
"1351",27,33
"1352",24,36
"1353",21,39
"1354",27,33
"1355",27,33
"1356",21,39
"1357",27,33
"1358",21,39
"1359",18,42
"1360",18,42
"1361",24,36
"1362",24,36
"1363",24,36
"1364",24,36
"1365",24,36
"1366",24,36
"1367",18,42
"1368",27,33
"1369",21,39
"1370",27,33
"1371",27,33
"1372",24,36
"1373",18,42
"1374",18,42
"1375",24,36
"1376",24,36
"1377",27,33
"1378",18,42
"1379",27,33
"1380",27,33
"1381",27,33
"1382",21,39
"1383",18,42
"1384",24,36
"1385",27,33
"1386",24,36
"1387",18,42
"1388",27,33
"1389",18,42
"1390",27,33
"1391",18,42
"1392",21,39
"1393",18,42
"1394",27,33
"1395",24,36
"1396",24,36
"1397",18,42
"1398",18,42
"1399",27,33
"1400",27,33
"1401",18,42
"1402",27,33
"1403",21,39
"1404",24,36
"1405",21,39
"1406",21,39
"1407",18,42
"1408",21,39
"1409",27,33
"1410",21,39
"1411",24,36
"1412",21,39
"1413",27,33
"1414",18,42
"1415",27,33
"1416",27,33
"1417",21,39
"1418",21,39
"1419",24,36
"1420",24,36
"1421",27,33
"1422",18,42
"1423",24,36
"1424",24,36
"1425",27,33
"1426",27,33
"1427",27,33
"1428",18,42
"1429",27,33
"1430",24,36
"1431",24,36
"1432",27,33
"1433",27,33
"1434",27,33
"1435",18,42
"1436",21,39
"1437",27,33
"1438",27,33
"1439",18,42
"1440",18,42
"1441",21,39
"1442",24,36
"1443",18,42
"1444",27,33
"1445",18,42
"1446",27,33
"1447",21,39
"1448",27,33
"1449",18,42
"1450",18,42
"1451",27,33
"1452",18,42
"1453",27,33
"1454",21,39
"1455",27,33
"1456",27,33
"1457",18,42
"1458",18,42
"1459",18,42
"1460",24,36
"1461",18,42
"1462",18,42
"1463",21,39
"1464",18,42
"1465",18,42
"1466",21,39
"1467",24,36
"1468",21,39
"1469",21,39
"1470",15,45
"1471",24,36
"1472",24,36
"1473",18,42
"1474",27,33
"1475",21,39
"1476",18,42
"1477",27,33
"1478",21,39
"1479",24,36
"1480",27,33
"1481",27,33
"1482",27,33
"1483",27,33
"1484",27,33
"1485",27,33
